Timestamp,calc_homebases,calc_HB1_cumulativeReturn,calc_HB1_meanDurationStops,calc_HB1_meanReturn,calc_HB1_meanExcursionStops,calc_HB1_stopDuration,calc_HB2_stopDuration,calc_HB2_cumulativeReturn,calc_HB1_expectedReturn,calc_sessionReturnTimeMean,calc_sessionTotalLocalesVisited,calc_sessionTotalStops,calc_expectedMainHomeBaseReturn,calc_distanceTravelled,calc_boutsOfChecking
2025-04-08_21:50:16,,,,,,,,,,,,,,,
2025-04-08_21:52:36,0.665,0.653,0.646,0.637,1.948,0.682,0.66,0.642,0.666,1.635,0.653,0.662,,,
2025-04-25_13:53:51,0.624,0.633,0.678,0.719,1.66,0.695,0.691,0.652,0.639,1.711,0.705,0.677,,,
2025-04-25_14:49:32,0.66,0.686,0.713,0.676,1.72,0.651,0.685,0.685,0.664,1.723,0.661,0.653,,,
2025-04-25_14:57:15,0.679,0.69,0.732,0.71,1.771,0.646,0.651,0.676,0.685,1.767,0.657,0.668,,,
2025-04-25_15:14:51,0.659,0.665,0.671,0.681,1.715,0.703,0.696,0.702,0.696,1.758,0.669,0.716,,,
2025-04-25_15:18:07,0.956,1.023,0.69,0.709,1.707,0.688,0.637,0.665,0.683,1.712,0.687,0.678,,,
2025-04-25_15:35:39,,,,,,,,,,,,,,,
2025-04-25_15:48:16,0.79,0.695,0.671,0.707,1.86,0.673,0.645,0.627,0.68,1.718,0.648,0.686,,,
2025-04-25_15:55:12,0.669,0.697,0.664,0.642,1.764,0.654,0.644,0.672,0.686,1.697,0.694,0.664,,,
2025-04-26_14:32:40,0.652,0.649,0.671,0.676,1.671,0.668,0.705,0.639,0.684,1.702,0.633,0.634,,,
2025-04-27_11:16:29,0.707,0.674,0.631,0.689,1.675,0.694,0.689,0.652,0.685,1.817,0.685,0.673,,,
2025-04-27_11:19:37,0.702,0.734,0.861,0.698,1.775,0.796,0.773,0.682,0.698,1.825,0.681,0.709,,,
2025-04-27_11:22:57,0.664,0.693,0.668,0.674,1.793,0.653,0.751,0.926,0.707,1.707,0.828,0.875,,,
2025-04-27_11:25:52,0.66,0.7,0.693,0.655,1.838,0.904,0.668,0.662,0.749,1.842,0.808,0.655,,,
2025-04-27_11:29:21,0.642,0.708,0.752,0.682,1.782,0.771,0.663,0.67,0.713,1.808,0.758,0.858,,,
2025-04-27_15:42:14,0.861,0.857,0.98,1.02,1.836,0.786,0.643,0.716,0.671,1.776,0.693,0.712,1.789,,
2025-05-01_15:02:07,0.789,0.694,0.676,0.707,1.875,0.727,0.69,0.704,0.688,1.755,0.722,0.698,1.765,,
2025-05-01_15:28:17,0.89,0.731,0.721,0.732,1.982,0.864,0.883,0.698,1.049,1.896,0.71,0.846,2.013,,
2025-05-01_15:35:40,0.712,0.765,0.79,0.854,2.113,0.857,0.977,0.759,0.789,2.148,0.745,0.789,2.104,,
2025-05-02_15:59:33,,,,,,,,,,,,,,,
2025-05-02_16:04:18,1.166,0.826,0.795,0.737,1.573,1.048,0.835,0.823,0.756,0.816,0.787,0.742,0.753,,
2025-05-02_16:17:13,0.696,0.724,0.711,1.959,1.787,0.858,0.798,0.78,0.853,0.967,0.759,1.02,0.847,,
